sp-AnimalisticPower	Central zoom	0		40	5		Node Pos	bip01 head			Sprite		Polar	Polar	flare-2	50	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#radius	0	0	0?360	0	0	0,255,0	255,10	255,200	255,10						3
sp-AnimalisticPower	Friendship rising 3			60	10		Node Pos	bip01 head			Sprite		Polar	Polar	leaf3	60	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-20	0?360	0	#radius	4?2	0	0	0?360	0	0	0,255,0	64	255	64						3
sp-AnimalisticPower	leaves falling 3			60	10		Node Pos	bip01 head			Sprite		Polar	Polar	leaf3	60	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0?360	0	#radius	4?2	0	0	0?360	0	0	0,255,0	64	255	64						3
sp-AnimalisticPower	Central zoom 2	0		40	5		Node Pos	bip01 head			Sprite		Polar	Polar	flare-1	50	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#radius	0	0	0?360	0	0	0,255,0	255,10	255,200	255,10						3
sp-AnimalisticPower	perma head sparkle	30		perm	5		Node Pos	bip01 head			Sprite		Polar	Polar	flare-1	50	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#radius	0	0	0?360	0	0	0,128,0	255,10	255,200	255,10						3
sp-AnimalisticPower	perma leaves			perm	10		Node Pos	bip01 head			Sprite		Polar	Polar	leaf3	60	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	-20	0?360	0	#radius	1?2	0	0	0?360	0	0	0,255,0	64	255	64						3
sp-AnimalisticPower-END	Central zoom 2	0		40	5		Node Pos	bip01 head			Sprite		Polar	Polar	flare-1	50	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#radius	0	0	0?360	0	0	0,255,0	255,10	255,200	255,10						3
sp-AnimalisticPower-END	leaves falling 3			60	10		Node Pos	bip01 head			Sprite		Polar	Polar	leaf3	60	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0?360	0	#radius	4?2	0	0	0?360	0	0	0,255,0	64	255	64						3
sp-AnimalisticPower-END	Friendship rising 3			60	10		Node Pos	bip01 head			Sprite		Polar	Polar	leaf3	60	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-20	0?360	0	#radius	4?2	0	0	0?360	0	0	0,255,0	64	255	64						3
sp-AnimalisticPower-END	Central zoom	0		40	5		Node Pos	bip01 head			Sprite		Polar	Polar	flare-2	50	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#radius	0	0	0?360	0	0	0,255,0	255,10	255,200	255,10						3
